,kepid,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,habitable
81,5358241,1.0,0,0,0,0,18.64932728,5.202e-05,-5.202e-05,174.771,0.00224,-0.00224,0.08,0.329,-0.08,4.4056,0.0687,-0.0687,893.6,20.9,-20.9,3.12,0.47,-0.28,701.0,,,57.13,22.99,-12.26,46.1,1.0,5775.0,78.0,-78.0,4.405,0.066,-0.123,1.053,0.161,-0.094,290.46176,40.562462,15.386,1.0
82,10875245,1.0,0,0,0,0,4.90144976,1.07e-05,-1.07e-05,138.60548,0.00175,-0.00175,0.529,0.021,-0.46,4.1654,0.0585,-0.0585,140.7,2.9,-2.9,1.7,0.08,-0.05,1262.0,,,598.74,84.12,-66.83,50.6,3.0,5847.0,64.0,-75.0,4.191,0.02,-0.018,1.402,0.063,-0.046,297.02826,48.208611,12.487,1.0
83,5358241,0.998,0,0,0,0,9.75192101,4.829e-05,-4.829e-05,138.78608,0.0036,-0.0036,0.949,0.028,-0.673,4.793,0.181,-0.181,418.0,16.2,-16.2,2.76,0.43,-0.24,870.0,,,135.66,54.6,-29.09,28.5,3.0,5775.0,78.0,-78.0,4.405,0.066,-0.123,1.053,0.161,-0.094,290.46176,40.562462,15.386,1.0
84,5358241,1.0,0,0,0,0,38.5576546,0.0001765,-0.0001765,163.85063,0.00407,-0.00407,0.911,0.025,-0.663,5.794,0.199,-0.199,993.0,26.8,-26.8,4.02,0.62,-0.36,550.0,,,21.71,8.73,-4.66,39.7,2.0,5775.0,78.0,-78.0,4.405,0.066,-0.123,1.053,0.161,-0.094,290.46176,40.562462,15.386,1.0
85,5358624,0.99,0,0,0,0,3.525632539,1.5e-07,-1.5e-07,170.0479951,3.33e-05,-3.33e-05,0.12,0.006,-0.084,2.59959,0.00079,-0.00079,22335.0,13.1,-13.1,11.58,0.9,-0.48,975.0,,,213.12,50.79,-29.54,1996.7,1.0,5150.0,82.0,-82.0,4.572,0.02,-0.064,0.793,0.062,-0.033,290.58173,40.5774,15.224,1.0
86,4544670,1.0,0,0,0,0,34.84398644,4.036e-05,-4.036e-05,172.633252,0.00094,-0.00094,0.934,0.575,-0.031,2.9315,0.0702,-0.0702,4523.6,82.5,-82.5,7.61,1.72,-0.91,511.0,,,16.1,11.1,-5.08,76.8,1.0,5509.0,166.0,-166.0,4.482,0.081,-0.15,0.871,0.196,-0.105,285.92001,39.624828,15.684,1.0
87,4664847,1.0,0,0,0,0,7.748094239,7.553e-06,-7.553e-06,174.997206,0.000765,-0.000765,0.517,0.237,-0.325,3.5957,0.043,-0.043,2472.1,25.7,-25.7,5.52,1.7,-0.56,964.0,,,204.39,186.49,-63.82,113.2,1.0,5973.0,169.0,-232.0,4.439,0.052,-0.221,1.085,0.334,-0.111,294.4899,39.771439,15.67,1.0
88,4725681,1.0,0,0,0,0,23.96793669,9.249e-05,-9.249e-05,186.22182,0.00305,-0.00305,0.416,0.053,-0.416,3.827,0.113,-0.113,1182.3,46.1,-46.1,1.8,0.1,-0.15,329.0,,,2.77,0.58,-0.64,27.5,1.0,3747.0,75.0,-83.0,4.728,0.042,-0.025,0.524,0.03,-0.044,283.86639,39.898079,15.414,1.0
89,4725681,0.995,0,0,0,0,8.29561738,2.368e-05,-2.368e-05,135.79284,0.00219,-0.00219,0.888,0.062,-0.612,1.3421,0.0773,-0.0773,824.3,57.5,-57.5,1.82,0.1,-0.15,469.0,,,11.39,2.4,-2.65,17.9,2.0,3747.0,75.0,-83.0,4.728,0.042,-0.025,0.524,0.03,-0.044,283.86639,39.898079,15.414,1.0
90,4913852,1.0,0,0,0,0,8.11437482,1.092e-05,-1.092e-05,176.33968,0.00107,-0.00107,0.573,0.0,-0.468,2.2736,0.0447,-0.0447,1558.0,32.0,-32.0,2.1,0.14,-0.16,460.0,,,10.55,2.46,-2.31,56.4,1.0,3692.0,73.0,-83.0,4.753,0.032,-0.039,0.517,0.035,-0.039,288.81201,40.033401,15.877,1.0
